                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 1.3711,                 1.4238,                 1.7075,                0.59564,                0.67122,                0.69492,                0.35587,                 1.6091,                 1.4542,                 1.9486,               0.006832,               0.006832,               0.006832
                    131,                 1.3536,                 1.4328,                 1.7092,                0.59525,                0.68294,                0.69664,                0.35597,                 1.6252,                 1.4419,                 1.9617,              0.0068073,              0.0068073,              0.0068073
                    132,                 1.3778,                 1.4507,                  1.725,                0.60674,                0.69436,                0.70763,                 0.3703,                 1.6013,                  1.459,                 1.9241,              0.0067825,              0.0067825,              0.0067825
                    133,                 1.3724,                 1.4388,                 1.7076,                0.59208,                0.69151,                0.70361,                0.36117,                 1.6198,                  1.431,                 1.9298,              0.0067577,              0.0067577,              0.0067577
                    134,                 1.3756,                 1.4208,                 1.7085,                0.58431,                0.69028,                0.71685,                0.36315,                 1.6006,                 1.4505,                 1.9269,               0.006733,               0.006733,               0.006733
                    135,                 1.3679,                 1.4613,                  1.721,                0.58617,                0.69842,                0.71225,                0.36887,                 1.5955,                 1.4512,                 1.9526,              0.0067082,              0.0067082,              0.0067082
                    136,                 1.3756,                 1.4682,                 1.7192,                0.59968,                 0.6757,                0.70819,                0.35952,                 1.6008,                  1.434,                 1.9575,              0.0066835,              0.0066835,              0.0066835
                    137,                 1.3653,                 1.4294,                 1.7166,                0.58348,                0.67469,                0.68368,                0.35542,                 1.5751,                 1.5252,                 1.9468,              0.0066587,              0.0066587,              0.0066587
                    138,                 1.3622,                 1.4117,                 1.7068,                0.62068,                 0.6586,                0.70213,                0.35162,                 1.6513,                 1.4581,                 1.9737,               0.006634,               0.006634,               0.006634
                    139,                 1.3482,                 1.4305,                 1.6984,                0.63724,                0.67728,                0.72573,                0.37404,                 1.5825,                 1.4317,                 1.9586,              0.0066092,              0.0066092,              0.0066092
                    140,                 1.3556,                 1.4126,                 1.7006,                0.62543,                0.69362,                0.72119,                0.37676,                 1.5878,                 1.4114,                 1.9379,              0.0065845,              0.0065845,              0.0065845
                    141,                 1.3401,                 1.4246,                 1.6942,                0.61405,                0.67642,                 0.7208,                0.37441,                 1.5817,                  1.426,                 1.9432,              0.0065598,              0.0065598,              0.0065598
